theta   d_times   d_db
0.000000   0.000000   -90.000000
0.001572   0.000004   -54.311743
0.003143   0.000015   -48.292036
0.004715   0.000033   -44.770392
0.006286   0.000059   -42.271700
0.007858   0.000093   -40.333559
0.009429   0.000133   -38.749988
0.011001   0.000182   -37.411107
0.012573   0.000237   -36.251327
0.014144   0.000300   -35.228342
0.015716   0.000370   -34.313262
0.017287   0.000448   -33.485486
0.018859   0.000533   -32.729798
0.020431   0.000626   -32.034647
0.022002   0.000726   -31.391051
0.023574   0.000833   -30.791891
0.025145   0.000948   -30.231428
0.026717   0.001070   -29.704967
0.028288   0.001200   -29.208621
0.029860   0.001337   -28.739132
0.031432   0.001481   -28.293744
0.033003   0.001633   -27.870105
0.034575   0.001792   -27.466191
0.036146   0.001959   -27.080249
0.037718   0.002133   -26.710749
0.039290   0.002314   -26.356349
0.040861   0.002503   -26.015864
0.042433   0.002699   -25.688246
0.044004   0.002902   -25.372557
0.045576   0.003113   -25.067962
0.047147   0.003331   -24.773707
0.048719   0.003557   -24.489117
0.050291   0.003790   -24.213576
0.051862   0.004030   -23.946529
0.053434   0.004278   -23.687470
0.055005   0.004533   -23.435934
0.056577   0.004796   -23.191498
0.058149   0.005066   -22.953775
0.059720   0.005343   -22.722406
0.061292   0.005627   -22.497061
0.062863   0.005919   -22.277435
0.064435   0.006218   -22.063248
0.066006   0.006525   -21.854236
0.067578   0.006839   -21.650156
0.069150   0.007160   -21.450783
0.070721   0.007489   -21.255904
0.072293   0.007825   -21.065323
0.073864   0.008168   -20.878855
0.075436   0.008519   -20.696327
0.077008   0.008877   -20.517577
0.078579   0.009242   -20.342453
0.080151   0.009614   -20.170811
0.081722   0.009994   -20.002516
0.083294   0.010381   -19.837440
0.084865   0.010776   -19.675465
0.086437   0.011178   -19.516476
0.088009   0.011587   -19.360367
0.089580   0.012003   -19.207034
0.091152   0.012427   -19.056382
0.092723   0.012858   -18.908320
0.094295   0.013296   -18.762761
0.095867   0.013742   -18.619622
0.097438   0.014194   -18.478825
0.099010   0.014654   -18.340295
0.100581   0.015122   -18.203961
0.102153   0.015596   -18.069754
0.103724   0.016078   -17.937611
0.105296   0.016567   -17.807469
0.106868   0.017064   -17.679270
0.108439   0.017567   -17.552957
0.110011   0.018078   -17.428475
0.111582   0.018596   -17.305773
0.113154   0.019121   -17.184801
0.114725   0.019654   -17.065513
0.116297   0.020194   -16.947861
0.117869   0.020741   -16.831803
0.119440   0.021295   -16.717297
0.121012   0.021856   -16.604302
0.122583   0.022424   -16.492779
0.124155   0.023000   -16.382691
0.125727   0.023583   -16.274001
0.127298   0.024173   -16.166677
0.128870   0.024770   -16.060683
0.130441   0.025375   -15.955989
0.132013   0.025986   -15.852562
0.133584   0.026605   -15.750374
0.135156   0.027231   -15.649396
0.136728   0.027864   -15.549599
0.138299   0.028504   -15.450957
0.139871   0.029151   -15.353443
0.141442   0.029806   -15.257034
0.143014   0.030467   -15.161704
0.144586   0.031136   -15.067430
0.146157   0.031811   -14.974190
0.147729   0.032494   -14.881961
0.149300   0.033184   -14.790722
0.150872   0.033881   -14.700453
0.152443   0.034585   -14.611134
0.154015   0.035296   -14.522745
0.155587   0.036014   -14.435268
0.157158   0.036739   -14.348684
0.158730   0.037472   -14.262976
0.160301   0.038211   -14.178127
0.161873   0.038957   -14.094120
0.163445   0.039711   -14.010939
0.165016   0.040471   -13.928568
0.166588   0.041238   -13.846992
0.168159   0.042013   -13.766196
0.169731   0.042794   -13.686167
0.171302   0.043582   -13.606889
0.172874   0.044378   -13.528349
0.174446   0.045180   -13.450535
0.176017   0.045989   -13.373432
0.177589   0.046806   -13.297030
0.179160   0.047629   -13.221315
0.180732   0.048459   -13.146275
0.182304   0.049296   -13.071899
0.183875   0.050140   -12.998176
0.185447   0.050991   -12.925095
0.187018   0.051848   -12.852645
0.188590   0.052713   -12.780816
0.190161   0.053585   -12.709597
0.191733   0.054463   -12.638978
0.193305   0.055348   -12.568950
0.194876   0.056241   -12.499503
0.196448   0.057140   -12.430629
0.198019   0.058045   -12.362318
0.199591   0.058958   -12.294561
0.201163   0.059878   -12.227350
0.202734   0.060804   -12.160676
0.204306   0.061737   -12.094531
0.205877   0.062677   -12.028908
0.207449   0.063624   -11.963798
0.209020   0.064577   -11.899193
0.210592   0.065538   -11.835087
0.212164   0.066505   -11.771472
0.213735   0.067479   -11.708340
0.215307   0.068459   -11.645686
0.216878   0.069446   -11.583501
0.218450   0.070440   -11.521780
0.220021   0.071441   -11.460516
0.221593   0.072449   -11.399702
0.223165   0.073463   -11.339332
0.224736   0.074483   -11.279400
0.226308   0.075511   -11.219900
0.227879   0.076545   -11.160826
0.229451   0.077586   -11.102173
0.231023   0.078633   -11.043934
0.232594   0.079687   -10.986105
0.234166   0.080748   -10.928679
0.235737   0.081815   -10.871652
0.237309   0.082889   -10.815018
0.238880   0.083970   -10.758772
0.240452   0.085057   -10.702909
0.242024   0.086150   -10.647425
0.243595   0.087251   -10.592314
0.245167   0.088357   -10.537572
0.246738   0.089471   -10.483194
0.248310   0.090590   -10.429175
0.249882   0.091717   -10.375512
0.251453   0.092850   -10.322200
0.253025   0.093989   -10.269234
0.254596   0.095135   -10.216611
0.256168   0.096287   -10.164326
0.257739   0.097446   -10.112375
0.259311   0.098611   -10.060754
0.260883   0.099782   -10.009459
0.262454   0.100960   -9.958487
0.264026   0.102145   -9.907834
0.265597   0.103336   -9.857495
0.267169   0.104533   -9.807468
0.268741   0.105737   -9.757749
0.270312   0.106947   -9.708334
0.271884   0.108163   -9.659220
0.273455   0.109385   -9.610403
0.275027   0.110614   -9.561881
0.276598   0.111850   -9.513649
0.278170   0.113091   -9.465705
0.279742   0.114339   -9.418046
0.281313   0.115593   -9.370668
0.282885   0.116854   -9.323568
0.284456   0.118121   -9.276744
0.286028   0.119394   -9.230192
0.287600   0.120673   -9.183910
0.289171   0.121958   -9.137894
0.290743   0.123250   -9.092142
0.292314   0.124547   -9.046651
0.293886   0.125851   -9.001419
0.295457   0.127162   -8.956442
0.297029   0.128478   -8.911718
0.298601   0.129800   -8.867245
0.300172   0.131129   -8.823019
0.301744   0.132463   -8.779039
0.303315   0.133804   -8.735302
0.304887   0.135151   -8.691805
0.306459   0.136504   -8.648547
0.308030   0.137863   -8.605524
0.309602   0.139228   -8.562734
0.311173   0.140599   -8.520176
0.312745   0.141976   -8.477846
0.314316   0.143359   -8.435743
0.315888   0.144748   -8.393865
0.317460   0.146143   -8.352208
0.319031   0.147544   -8.310772
0.320603   0.148951   -8.269554
0.322174   0.150364   -8.228552
0.323746   0.151783   -8.187764
0.325317   0.153208   -8.147188
0.326889   0.154639   -8.106822
0.328461   0.156075   -8.066664
0.330032   0.157517   -8.026713
0.331604   0.158966   -7.986965
0.333175   0.160420   -7.947420
0.334747   0.161880   -7.908075
0.336319   0.163345   -7.868930
0.337890   0.164817   -7.829981
0.339462   0.166294   -7.791227
0.341033   0.167777   -7.752667
0.342605   0.169266   -7.714299
0.344176   0.170761   -7.676121
0.345748   0.172261   -7.638131
0.347320   0.173767   -7.600328
0.348891   0.175279   -7.562710
0.350463   0.176796   -7.525276
0.352034   0.178319   -7.488023
0.353606   0.179848   -7.450952
0.355178   0.181382   -7.414059
0.356749   0.182922   -7.377343
0.358321   0.184467   -7.340804
0.359892   0.186019   -7.304438
0.361464   0.187575   -7.268246
0.363035   0.189137   -7.232225
0.364607   0.190705   -7.196375
0.366179   0.192278   -7.160693
0.367750   0.193857   -7.125178
0.369322   0.195442   -7.089830
0.370893   0.197031   -7.054646
0.372465   0.198627   -7.019625
0.374037   0.200227   -6.984767
0.375608   0.201833   -6.950069
0.377180   0.203445   -6.915530
0.378751   0.205062   -6.881150
0.380323   0.206684   -6.846926
0.381894   0.208312   -6.812859
0.383466   0.209945   -6.778945
0.385038   0.211583   -6.745185
0.386609   0.213227   -6.711577
0.388181   0.214876   -6.678120
0.389752   0.216530   -6.644813
0.391324   0.218190   -6.611654
0.392896   0.219855   -6.578643
0.394467   0.221525   -6.545778
0.396039   0.223200   -6.513058
0.397610   0.224880   -6.480483
0.399182   0.226566   -6.448050
0.400753   0.228257   -6.415760
0.402325   0.229953   -6.383610
0.403897   0.231654   -6.351601
0.405468   0.233360   -6.319730
0.407040   0.235072   -6.287997
0.408611   0.236788   -6.256401
0.410183   0.238510   -6.224941
0.411755   0.240236   -6.193616
0.413326   0.241968   -6.162425
0.414898   0.243704   -6.131367
0.416469   0.245446   -6.100441
0.418041   0.247193   -6.069645
0.419612   0.248944   -6.038981
0.421184   0.250701   -6.008445
0.422756   0.252462   -5.978038
0.424327   0.254228   -5.947758
0.425899   0.256000   -5.917604
0.427470   0.257776   -5.887577
0.429042   0.259557   -5.857674
0.430614   0.261343   -5.827895
0.432185   0.263133   -5.798239
0.433757   0.264929   -5.768706
0.435328   0.266729   -5.739294
0.436900   0.268534   -5.710003
0.438471   0.270344   -5.680831
0.440043   0.272159   -5.651778
0.441615   0.273978   -5.622844
0.443186   0.275802   -5.594027
0.444758   0.277631   -5.565327
0.446329   0.279464   -5.536743
0.447901   0.281302   -5.508274
0.449472   0.283144   -5.479919
0.451044   0.284992   -5.451678
0.452616   0.286844   -5.423549
0.454187   0.288700   -5.395533
0.455759   0.290561   -5.367629
0.457330   0.292426   -5.339835
0.458902   0.294296   -5.312151
0.460474   0.296171   -5.284576
0.462045   0.298050   -5.257111
0.463617   0.299933   -5.229753
0.465188   0.301821   -5.202502
0.466760   0.303714   -5.175358
0.468331   0.305610   -5.148320
0.469903   0.307511   -5.121387
0.471475   0.309417   -5.094559
0.473046   0.311327   -5.067835
0.474618   0.313241   -5.041214
0.476189   0.315160   -5.014696
0.477761   0.317082   -4.988280
0.479333   0.319009   -4.961965
0.480904   0.320941   -4.935751
0.482476   0.322876   -4.909638
0.484047   0.324816   -4.883624
0.485619   0.326760   -4.857709
0.487190   0.328708   -4.831893
0.488762   0.330661   -4.806175
0.490334   0.332617   -4.780554
0.491905   0.334578   -4.755029
0.493477   0.336542   -4.729601
0.495048   0.338511   -4.704269
0.496620   0.340484   -4.679031
0.498192   0.342461   -4.653888
0.499763   0.344442   -4.628839
0.501335   0.346427   -4.603883
0.502906   0.348416   -4.579021
0.504478   0.350409   -4.554250
0.506049   0.352406   -4.529572
0.507621   0.354406   -4.504984
0.509193   0.356411   -4.480488
0.510764   0.358420   -4.456082
0.512336   0.360432   -4.431765
0.513907   0.362448   -4.407538
0.515479   0.364469   -4.383400
0.517051   0.366492   -4.359349
0.518622   0.368520   -4.335387
0.520194   0.370552   -4.311512
0.521765   0.372587   -4.287724
0.523337   0.374626   -4.264022
0.524908   0.376669   -4.240406
0.526480   0.378715   -4.216876
0.528052   0.380765   -4.193430
0.529623   0.382819   -4.170069
0.531195   0.384876   -4.146792
0.532766   0.386937   -4.123599
0.534338   0.389001   -4.100489
0.535910   0.391069   -4.077461
0.537481   0.393141   -4.054516
0.539053   0.395216   -4.031652
0.540624   0.397295   -4.008870
0.542196   0.399377   -3.986169
0.543767   0.401463   -3.963549
0.545339   0.403552   -3.941009
0.546911   0.405644   -3.918548
0.548482   0.407740   -3.896167
0.550054   0.409839   -3.873865
0.551625   0.411942   -3.851641
0.553197   0.414048   -3.829495
0.554768   0.416157   -3.807427
0.556340   0.418270   -3.785436
0.557912   0.420385   -3.763523
0.559483   0.422505   -3.741686
0.561055   0.424627   -3.719924
0.562626   0.426753   -3.698239
0.564198   0.428881   -3.676629
0.565770   0.431013   -3.655095
0.567341   0.433148   -3.633634
0.568913   0.435286   -3.612248
0.570484   0.437428   -3.590936
0.572056   0.439572   -3.569698
0.573627   0.441720   -3.548533
0.575199   0.443870   -3.527440
0.576771   0.446024   -3.506420
0.578342   0.448180   -3.485473
0.579914   0.450340   -3.464597
0.581485   0.452502   -3.443792
0.583057   0.454668   -3.423059
0.584629   0.456836   -3.402396
0.586200   0.459007   -3.381804
0.587772   0.461181   -3.361282
0.589343   0.463358   -3.340830
0.590915   0.465538   -3.320447
0.592486   0.467721   -3.300133
0.594058   0.469906   -3.279888
0.595630   0.472094   -3.259711
0.597201   0.474285   -3.239603
0.598773   0.476479   -3.219563
0.600344   0.478675   -3.199590
0.601916   0.480874   -3.179684
0.603488   0.483076   -3.159845
0.605059   0.485280   -3.140073
0.606631   0.487487   -3.120367
0.608202   0.489697   -3.100727
0.609774   0.491909   -3.081153
0.611345   0.494124   -3.061644
0.612917   0.496341   -3.042200
0.614489   0.498561   -3.022821
0.616060   0.500783   -3.003507
0.617632   0.503007   -2.984257
0.619203   0.505234   -2.965071
0.620775   0.507464   -2.945948
0.622347   0.509696   -2.926889
0.623918   0.511930   -2.907893
0.625490   0.514167   -2.888960
0.627061   0.516406   -2.870090
0.628633   0.518647   -2.851282
0.630204   0.520890   -2.832536
0.631776   0.523136   -2.813851
0.633348   0.525384   -2.795228
0.634919   0.527635   -2.776667
0.636491   0.529887   -2.758166
0.638062   0.532142   -2.739726
0.639634   0.534399   -2.721347
0.641206   0.536658   -2.703028
0.642777   0.538919   -2.684769
0.644349   0.541182   -2.666569
0.645920   0.543447   -2.648429
0.647492   0.545714   -2.630348
0.649063   0.547983   -2.612326
0.650635   0.550255   -2.594363
0.652207   0.552528   -2.576458
0.653778   0.554803   -2.558612
0.655350   0.557080   -2.540823
0.656921   0.559359   -2.523093
0.658493   0.561640   -2.505419
0.660064   0.563923   -2.487804
0.661636   0.566207   -2.470245
0.663208   0.568494   -2.452743
0.664779   0.570782   -2.435297
0.666351   0.573072   -2.417908
0.667922   0.575364   -2.400575
0.669494   0.577657   -2.383298
0.671066   0.579952   -2.366077
0.672637   0.582249   -2.348911
0.674209   0.584548   -2.331801
0.675780   0.586848   -2.314745
0.677352   0.589150   -2.297745
0.678923   0.591453   -2.280799
0.680495   0.593758   -2.263907
0.682067   0.596064   -2.247070
0.683638   0.598372   -2.230286
0.685210   0.600682   -2.213557
0.686781   0.602993   -2.196880
0.688353   0.605305   -2.180258
0.689925   0.607619   -2.163688
0.691496   0.609934   -2.147171
0.693068   0.612251   -2.130708
0.694639   0.614569   -2.114296
0.696211   0.616888   -2.097937
0.697782   0.619209   -2.081630
0.699354   0.621530   -2.065376
0.700926   0.623854   -2.049173
0.702497   0.626178   -2.033021
0.704069   0.628504   -2.016921
0.705640   0.630831   -2.000872
0.707212   0.633159   -1.984874
0.708784   0.635488   -1.968927
0.710355   0.637818   -1.953031
0.711927   0.640150   -1.937185
0.713498   0.642482   -1.921389
0.715070   0.644816   -1.905643
0.716641   0.647150   -1.889948
0.718213   0.649486   -1.874302
0.719785   0.651823   -1.858705
0.721356   0.654160   -1.843158
0.722928   0.656499   -1.827660
0.724499   0.658838   -1.812211
0.726071   0.661179   -1.796811
0.727643   0.663520   -1.781460
0.729214   0.665862   -1.766157
0.730786   0.668205   -1.750902
0.732357   0.670549   -1.735696
0.733929   0.672893   -1.720537
0.735500   0.675239   -1.705427
0.737072   0.677585   -1.690364
0.738644   0.679932   -1.675348
0.740215   0.682279   -1.660380
0.741787   0.684627   -1.645459
0.743358   0.686976   -1.630585
0.744930   0.689325   -1.615758
0.746502   0.691675   -1.600977
0.748073   0.694026   -1.586243
0.749645   0.696377   -1.571556
0.751216   0.698729   -1.556914
0.752788   0.701081   -1.542319
0.754359   0.703433   -1.527770
0.755931   0.705787   -1.513266
0.757503   0.708140   -1.498808
0.759074   0.710494   -1.484395
0.760646   0.712848   -1.470028
0.762217   0.715203   -1.455706
0.763789   0.717558   -1.441428
0.765360   0.719914   -1.427196
0.766932   0.722269   -1.413008
0.768504   0.724625   -1.398865
0.770075   0.726981   -1.384766
0.771647   0.729338   -1.370712
0.773218   0.731695   -1.356702
0.774790   0.734051   -1.342735
0.776362   0.736408   -1.328813
0.777933   0.738766   -1.314934
0.779505   0.741123   -1.301098
0.781076   0.743480   -1.287307
0.782648   0.745837   -1.273558
0.784219   0.748195   -1.259853
0.785791   0.750552   -1.246190
0.787363   0.752910   -1.232571
0.788934   0.755267   -1.218994
0.790506   0.757625   -1.205459
0.792077   0.759982   -1.191968
0.793649   0.762339   -1.178518
0.795221   0.764696   -1.165111
0.796792   0.767053   -1.151746
0.798364   0.769410   -1.138423
0.799935   0.771766   -1.125141
0.801507   0.774123   -1.111902
0.803078   0.776479   -1.098704
0.804650   0.778835   -1.085547
0.806222   0.781190   -1.072432
0.807793   0.783546   -1.059357
0.809365   0.785900   -1.046324
0.810936   0.788255   -1.033332
0.812508   0.790609   -1.020381
0.814080   0.792963   -1.007470
0.815651   0.795316   -0.994600
0.817223   0.797669   -0.981771
0.818794   0.800022   -0.968982
0.820366   0.802374   -0.956232
0.821937   0.804725   -0.943524
0.823509   0.807076   -0.930855
0.825081   0.809427   -0.918226
0.826652   0.811776   -0.905636
0.828224   0.814125   -0.893087
0.829795   0.816474   -0.880577
0.831367   0.818822   -0.868106
0.832939   0.821169   -0.855674
0.834510   0.823516   -0.843282
0.836082   0.825861   -0.830929
0.837653   0.828206   -0.818615
0.839225   0.830551   -0.806339
0.840796   0.832894   -0.794103
0.842368   0.835237   -0.781905
0.843940   0.837578   -0.769745
0.845511   0.839919   -0.757624
0.847083   0.842259   -0.745542
0.848654   0.844598   -0.733497
0.850226   0.846937   -0.721491
0.851798   0.849274   -0.709522
0.853369   0.851610   -0.697592
0.854941   0.853945   -0.685699
0.856512   0.856280   -0.673844
0.858084   0.858613   -0.662027
0.859655   0.860945   -0.650247
0.861227   0.863276   -0.638504
0.862799   0.865606   -0.626799
0.864370   0.867934   -0.615130
0.865942   0.870262   -0.603499
0.867513   0.872588   -0.591905
0.869085   0.874914   -0.580348
0.870656   0.877238   -0.568828
0.872228   0.879560   -0.557344
0.873800   0.881882   -0.545897
0.875371   0.884202   -0.534486
0.876943   0.886521   -0.523112
0.878514   0.888838   -0.511774
0.880086   0.891154   -0.500472
0.881658   0.893469   -0.489206
0.883229   0.895782   -0.477976
0.884801   0.898094   -0.466783
0.886372   0.900404   -0.455625
0.887944   0.902713   -0.444503
0.889515   0.905020   -0.433416
0.891087   0.907326   -0.422365
0.892659   0.909631   -0.411349
0.894230   0.911933   -0.400369
0.895802   0.914234   -0.389424
0.897373   0.916534   -0.378515
0.898945   0.918832   -0.367640
0.900517   0.921128   -0.356801
0.902088   0.923422   -0.345996
0.903660   0.925715   -0.335226
0.905231   0.928006   -0.324491
0.906803   0.930295   -0.313791
0.908374   0.932583   -0.303125
0.909946   0.934869   -0.292494
0.911518   0.937152   -0.281897
0.913089   0.939435   -0.271335
0.914661   0.941715   -0.260807
0.916232   0.943993   -0.250313
0.917804   0.946269   -0.239853
0.919376   0.948544   -0.229427
0.920947   0.950816   -0.219035
0.922519   0.953087   -0.208677
0.924090   0.955355   -0.198352
0.925662   0.957621   -0.188062
0.927233   0.959886   -0.177804
0.928805   0.962148   -0.167581
0.930377   0.964408   -0.157391
0.931948   0.966666   -0.147234
0.933520   0.968922   -0.137110
0.935091   0.971176   -0.127020
0.936663   0.973428   -0.116963
0.938235   0.975677   -0.106939
0.939806   0.977924   -0.096948
0.941378   0.980169   -0.086990
0.942949   0.982412   -0.077064
0.944521   0.984652   -0.067172
0.946092   0.986890   -0.057312
0.947664   0.989126   -0.047484
0.949236   0.991359   -0.037690
0.950807   0.993590   -0.027927
0.952379   0.995819   -0.018197
0.953950   0.998045   -0.008500
0.955522   1.000268   0.001166
0.957094   1.002490   0.010799
0.958665   1.004708   0.020400
0.960237   1.006924   0.029969
0.961808   1.009138   0.039506
0.963380   1.011349   0.049011
0.964951   1.013558   0.058485
0.966523   1.015764   0.067926
0.968095   1.017967   0.077336
0.969666   1.020167   0.086715
0.971238   1.022365   0.096062
0.972809   1.024561   0.105377
0.974381   1.026753   0.114661
0.975952   1.028943   0.123913
0.977524   1.031130   0.133135
0.979096   1.033314   0.142325
0.980667   1.035496   0.151484
0.982239   1.037675   0.160612
0.983810   1.039850   0.169709
0.985382   1.042023   0.178775
0.986954   1.044193   0.187810
0.988525   1.046361   0.196814
0.990097   1.048525   0.205787
0.991668   1.050686   0.214730
0.993240   1.052844   0.223642
0.994811   1.055000   0.232524
0.996383   1.057152   0.241375
0.997955   1.059301   0.250196
0.999526   1.061448   0.258986
1.001098   1.063591   0.267746
1.002669   1.065731   0.276475
1.004241   1.067868   0.285175
1.005813   1.070002   0.293844
1.007384   1.072132   0.302484
1.008956   1.074260   0.311093
1.010527   1.076384   0.319672
1.012099   1.078505   0.328222
1.013670   1.080623   0.336741
1.015242   1.082737   0.345231
1.016814   1.084849   0.353691
1.018385   1.086956   0.362122
1.019957   1.089061   0.370522
1.021528   1.091162   0.378894
1.023100   1.093260   0.387235
1.024672   1.095355   0.395548
1.026243   1.097446   0.403831
1.027815   1.099533   0.412084
1.029386   1.101618   0.420309
1.030958   1.103698   0.428504
1.032529   1.105776   0.436670
1.034101   1.107849   0.444807
1.035673   1.109919   0.452914
1.037244   1.111986   0.460993
1.038816   1.114049   0.469043
1.040387   1.116109   0.477064
1.041959   1.118164   0.485056
1.043531   1.120217   0.493020
1.045102   1.122265   0.500955
1.046674   1.124310   0.508861
1.048245   1.126351   0.516738
1.049817   1.128389   0.524587
1.051388   1.130422   0.532407
1.052960   1.132452   0.540199
1.054532   1.134478   0.547962
1.056103   1.136501   0.555697
1.057675   1.138519   0.563404
1.059246   1.140534   0.571082
1.060818   1.142545   0.578733
1.062390   1.144552   0.586355
1.063961   1.146555   0.593949
1.065533   1.148554   0.601515
1.067104   1.150549   0.609052
1.068676   1.152541   0.616562
